ElectionDate	OfficeCode(text)	DistrictCode(Text)	StatusCode	CountyCode	CountyName	OfficeDescription	PartyOrder	PartyDescription	CandidateID	CandidateLastName	CandidateFirstName	CandidateMiddleName	CandidateFormerName	CandidateVotes	WriteIn(W)/Uncommitted(Z)	Recount(*)	Nomindated(N)/Elected(E)
2016-03-08	8	07500	8	41	KENT	75th District Representative in State Legislature Partial Term Ending 01/01/2017 (1) Position Files In KENT County	2	Democratic	517249	LaGrand	David			13601			E
2016-03-08	8	07500	8	41	KENT	75th District Representative in State Legislature Partial Term Ending 01/01/2017 (1) Position Files In KENT County	1	Republican	517300	Edmonds	Blake			3964			
2016-03-08	8	08000	8	3	ALLEGAN	80th District Representative in State Legislature Partial Term Ending 01/01/2017 (1) Position Files In ALLEGAN County	1	Republican	516401	Whiteford	Mary			14860			E
2016-03-08	8	08000	8	3	ALLEGAN	80th District Representative in State Legislature Partial Term Ending 01/01/2017 (1) Position Files In ALLEGAN County	2	Democratic	517340	Gernant	David			6945			
2016-03-08	8	08000	8	3	ALLEGAN	80th District Representative in State Legislature Partial Term Ending 01/01/2017 (1) Position Files In ALLEGAN County	3	Libertarian	517358	Davidsons	Arnie			1424			
2016-03-08	8	08200	8	44	LAPEER	82nd District Representative in State Legislature Partial Term Ending 01/01/2017 (1) Position Files In LAPEER County	2	Democratic	516491	Guerrero DeLuca	Margaret			8680			
2016-03-08	8	08200	8	44	LAPEER	82nd District Representative in State Legislature Partial Term Ending 01/01/2017 (1) Position Files In LAPEER County	1	Republican	517310	Howell	Gary			13907			E
2016-03-08	8	08200	8	44	LAPEER	82nd District Representative in State Legislature Partial Term Ending 01/01/2017 (1) Position Files In LAPEER County	3	Libertarian	517371	Spilker	Tracy	R.		1154			
2016-03-08	1	00000	0	1	ALCONA	President of the United States 4 Year Term (1) Position	2	Republican	-1050	Uncommitted				29			
2016-03-08	1	00000	0	1	ALCONA	President of the United States 4 Year Term (1) Position	1	Democratic	-1049	Uncommitted				26			
2016-03-08	1	00000	0	1	ALCONA	President of the United States 4 Year Term (1) Position	1	Democratic	-1044	De La Fuente	Roque			1			
2016-03-08	1	00000	0	1	ALCONA	President of the United States 4 Year Term (1) Position	1	Democratic	-1043	Sanders	Bernie			455			
2016-03-08	1	00000	0	1	ALCONA	President of the United States 4 Year Term (1) Position	1	Democratic	-1042	O'Malley	Martin			5			
2016-03-08	1	00000	0	1	ALCONA	President of the United States 4 Year Term (1) Position	1	Democratic	-1041	Clinton	Hillary			463			
2016-03-08	1	00000	0	1	ALCONA	President of the United States 4 Year Term (1) Position	2	Republican	-1040	Trump	Donald			1111			
2016-03-08	1	00000	0	1	ALCONA	President of the United States 4 Year Term (1) Position	2	Republican	-1039	Santorum	Rick			4			
2016-03-08	1	00000	0	1	ALCONA	President of the United States 4 Year Term (1) Position	2	Republican	-1038	Rubio	Marco			138			
2016-03-08	1	00000	0	1	ALCONA	President of the United States 4 Year Term (1) Position	2	Republican	-1037	Paul	Rand			8			
2016-03-08	1	00000	0	1	ALCONA	President of the United States 4 Year Term (1) Position	2	Republican	-1036	Pataki	George			2			
2016-03-08	1	00000	0	1	ALCONA	President of the United States 4 Year Term (1) Position	2	Republican	-1035	Kasich	John			340			
2016-03-08	1	00000	0	1	ALCONA	President of the United States 4 Year Term (1) Position	2	Republican	-1033	Huckabee	Mike			2			
2016-03-08	1	00000	0	1	ALCONA	President of the United States 4 Year Term (1) Position	2	Republican	-1032	Graham	Lindsey			0			
2016-03-08	1	00000	0	1	ALCONA	President of the United States 4 Year Term (1) Position	2	Republican	-1031	Fiorina	Carly			4			
2016-03-08	1	00000	0	1	ALCONA	President of the United States 4 Year Term (1) Position	2	Republican	-1030	Cruz	Ted			460			
2016-03-08	1	00000	0	1	ALCONA	President of the United States 4 Year Term (1) Position	2	Republican	-1029	Christie	Chris			5			
2016-03-08	1	00000	0	1	ALCONA	President of the United States 4 Year Term (1) Position	2	Republican	-1028	Carson	Ben			27			
2016-03-08	1	00000	0	1	ALCONA	President of the United States 4 Year Term (1) Position	2	Republican	-1027	Bush	Jeb			13			
2016-03-08	1	00000	0	2	ALGER	President of the United States 4 Year Term (1) Position	2	Republican	-1050	Uncommitted				19			
2016-03-08	1	00000	0	2	ALGER	President of the United States 4 Year Term (1) Position	1	Democratic	-1049	Uncommitted				26			
2016-03-08	1	00000	0	2	ALGER	President of the United States 4 Year Term (1) Position	1	Democratic	-1044	De La Fuente	Roque			1			
2016-03-08	1	00000	0	2	ALGER	President of the United States 4 Year Term (1) Position	1	Democratic	-1043	Sanders	Bernie			622			
2016-03-08	1	00000	0	2	ALGER	President of the United States 4 Year Term (1) Position	1	Democratic	-1042	O'Malley	Martin			3			
2016-03-08	1	00000	0	2	ALGER	President of the United States 4 Year Term (1) Position	1	Democratic	-1041	Clinton	Hillary			384			
2016-03-08	1	00000	0	2	ALGER	President of the United States 4 Year Term (1) Position	2	Republican	-1040	Trump	Donald			518			
2016-03-08	1	00000	0	2	ALGER	President of the United States 4 Year Term (1) Position	2	Republican	-1039	Santorum	Rick			0			
2016-03-08	1	00000	0	2	ALGER	President of the United States 4 Year Term (1) Position	2	Republican	-1038	Rubio	Marco			99			
2016-03-08	1	00000	0	2	ALGER	President of the United States 4 Year Term (1) Position	2	Republican	-1037	Paul	Rand			5			
2016-03-08	1	00000	0	2	ALGER	President of the United States 4 Year Term (1) Position	2	Republican	-1036	Pataki	George			0			
2016-03-08	1	00000	0	2	ALGER	President of the United States 4 Year Term (1) Position	2	Republican	-1035	Kasich	John			281			
2016-03-08	1	00000	0	2	ALGER	President of the United States 4 Year Term (1) Position	2	Republican	-1033	Huckabee	Mike			4			
2016-03-08	1	00000	0	2	ALGER	President of the United States 4 Year Term (1) Position	2	Republican	-1032	Graham	Lindsey			0			
2016-03-08	1	00000	0	2	ALGER	President of the United States 4 Year Term (1) Position	2	Republican	-1031	Fiorina	Carly			1			
2016-03-08	1	00000	0	2	ALGER	President of the United States 4 Year Term (1) Position	2	Republican	-1030	Cruz	Ted			318			
2016-03-08	1	00000	0	2	ALGER	President of the United States 4 Year Term (1) Position	2	Republican	-1029	Christie	Chris			2			
2016-03-08	1	00000	0	2	ALGER	President of the United States 4 Year Term (1) Position	2	Republican	-1028	Carson	Ben			20			
2016-03-08	1	00000	0	2	ALGER	President of the United States 4 Year Term (1) Position	2	Republican	-1027	Bush	Jeb			4			
2016-03-08	1	00000	0	3	ALLEGAN	President of the United States 4 Year Term (1) Position	2	Republican	-1050	Uncommitted				240			
2016-03-08	1	00000	0	3	ALLEGAN	President of the United States 4 Year Term (1) Position	1	Democratic	-1049	Uncommitted				142			
2016-03-08	1	00000	0	3	ALLEGAN	President of the United States 4 Year Term (1) Position	1	Democratic	-1044	De La Fuente	Roque			8			
2016-03-08	1	00000	0	3	ALLEGAN	President of the United States 4 Year Term (1) Position	1	Democratic	-1043	Sanders	Bernie			5569			
2016-03-08	1	00000	0	3	ALLEGAN	President of the United States 4 Year Term (1) Position	1	Democratic	-1042	O'Malley	Martin			8			
2016-03-08	1	00000	0	3	ALLEGAN	President of the United States 4 Year Term (1) Position	1	Democratic	-1041	Clinton	Hillary			3511			
2016-03-08	1	00000	0	3	ALLEGAN	President of the United States 4 Year Term (1) Position	2	Republican	-1040	Trump	Donald			5337			
2016-03-08	1	00000	0	3	ALLEGAN	President of the United States 4 Year Term (1) Position	2	Republican	-1039	Santorum	Rick			20			
2016-03-08	1	00000	0	3	ALLEGAN	President of the United States 4 Year Term (1) Position	2	Republican	-1038	Rubio	Marco			1991			
2016-03-08	1	00000	0	3	ALLEGAN	President of the United States 4 Year Term (1) Position	2	Republican	-1037	Paul	Rand			53			
2016-03-08	1	00000	0	3	ALLEGAN	President of the United States 4 Year Term (1) Position	2	Republican	-1036	Pataki	George			6			
2016-03-08	1	00000	0	3	ALLEGAN	President of the United States 4 Year Term (1) Position	2	Republican	-1035	Kasich	John			4658			
2016-03-08	1	00000	0	3	ALLEGAN	President of the United States 4 Year Term (1) Position	2	Republican	-1033	Huckabee	Mike			39			
2016-03-08	1	00000	0	3	ALLEGAN	President of the United States 4 Year Term (1) Position	2	Republican	-1032	Graham	Lindsey			6			
2016-03-08	1	00000	0	3	ALLEGAN	President of the United States 4 Year Term (1) Position	2	Republican	-1031	Fiorina	Carly			15			
2016-03-08	1	00000	0	3	ALLEGAN	President of the United States 4 Year Term (1) Position	2	Republican	-1030	Cruz	Ted			7556			
2016-03-08	1	00000	0	3	ALLEGAN	President of the United States 4 Year Term (1) Position	2	Republican	-1029	Christie	Chris			36			
2016-03-08	1	00000	0	3	ALLEGAN	President of the United States 4 Year Term (1) Position	2	Republican	-1028	Carson	Ben			364			
