ElectionDate	OfficeCode(text)	DistrictCode(Text)	StatusCode	CountyCode	CountyName	OfficeDescription	PartyOrder	PartyDescription	CandidateID	CandidateLastName	CandidateFirstName	CandidateMiddleName	CandidateFormerName	CandidateVotes	WriteIn(W)/Uncommitted(Z)	Recount(*)	Nomindated(N)/Elected(E)
2024-02-27	2	0	0	1	ALCONA	PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	2	REPUBLICAN	-99999	UNCOMMITTED				29			
2024-02-27	2	0	0	1	ALCONA	PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	1	DEMOCRATIC	-99998	UNCOMMITTED				67			
2024-02-27	2	0	0	1	ALCONA	PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	2	REPUBLICAN	438999	HUTCHINSON	ASA			3			
2024-02-27	2	0	0	1	ALCONA	PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	2	REPUBLICAN	439000	DESANTIS	RON			24			
2024-02-27	2	0	0	1	ALCONA	PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	1	DEMOCRATIC	439002	PHILLIPS	DEAN			19			
2024-02-27	2	0	0	1	ALCONA	PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	2	REPUBLICAN	439003	CHRISTIE	CHRIS			10			
2024-02-27	2	0	0	1	ALCONA	PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	2	REPUBLICAN	439004	RAMASWAMY	VIVEK			1			
2024-02-27	2	0	0	1	ALCONA	PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	1	DEMOCRATIC	439005	BIDEN JR.	JOSEPH	R.		549			
2024-02-27	2	0	0	1	ALCONA	PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	2	REPUBLICAN	439006	HALEY	NIKKI			377			
2024-02-27	2	0	0	1	ALCONA	PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	2	REPUBLICAN	439007	BINKLEY	RYAN	L		20			
